method,method_label,step,mean_return,std_return,n_seeds,sem_return,step_millions
adam,Adam,50921472,1129.4495849609375,84.86506988703648,3,48.99687094407692,50.921472
adam,Adam,51118080,1209.958740234375,154.50496213603907,3,89.2034814803751,51.11808
adam,Adam,51314688,1212.0533040364583,137.8169629086004,3,79.56866063417712,51.314688
adam,Adam,51511296,1276.269775390625,169.09915688791375,3,97.62944374897577,51.511296
adam,Adam,51707904,1300.0590413411458,141.44084837675481,3,81.66091188472843,51.707904
adam,Adam,51904512,1318.0082600911458,117.10420603031962,3,67.61014487484243,51.904512
adam,Adam,52101120,1440.6939697265625,296.6868214555281,3,171.2922162323636,52.10112
adam,Adam,52297728,1470.3913981119792,190.5079200910278,3,109.98979894731063,52.297728
adam,Adam,52494336,1507.6140543619792,133.781715686441,3,77.2389095642167,52.494336
adam,Adam,52690944,1552.4647623697917,245.67038982697753,3,141.83786569852577,52.690944
adam,Adam,52887552,1615.8056233723958,214.00777219655376,3,123.55744488635243,52.887552
adam,Adam,53084160,1672.2850748697917,242.23115543385376,3,139.85222279584954,53.08416
adam,Adam,53280768,1712.2361246744792,256.37458314149546,3,148.01793459012052,53.280768
adam,Adam,53477376,1821.8594156901042,314.04402546217204,3,181.31340263797873,53.477376
adam,Adam,53673984,1902.4442545572917,283.4443922207001,3,163.64669614891108,53.673984
adam,Adam,53870592,1871.6302490234375,310.71356081892856,3,179.39055797967558,53.870592
adam,Adam,54067200,1819.4762776692708,328.4321340433431,3,189.62038100044742,54.0672
adam,Adam,54263808,1899.361083984375,401.7183198087474,3,231.9321800799845,54.263808
adam,Adam,54460416,1862.745849609375,330.66933047997327,3,190.9120269653659,54.460416
adam,Adam,54657024,1919.3202311197917,230.84762879777014,3,133.27994062817942,54.657024
adam,Adam,54853632,1872.7058919270833,304.69730683417697,3,175.9170721220661,54.853632
adam,Adam,55050240,1886.4829915364583,184.01326754253174,3,106.24010955014333,55.05024
adam,Adam,55246848,1838.5838623046875,287.606956892443,3,166.04995398266107,55.246848
adam,Adam,55443456,1984.6693522135417,311.4754331076981,3,179.8304251506848,55.443456
adam,Adam,55640064,1976.2421875,316.30043339292956,3,182.61614036420318,55.640064
adam,Adam,55836672,2070.3395182291665,165.4201152712479,3,95.5053480812339,55.836672
adam,Adam,56033280,2093.3473307291665,336.06486114009243,3,194.02713804440657,56.03328
