optimizer,seed,task,epret,eplen,rstep,obs_delay_mean,act_delay_mean,actor_dorm,value_dorm
regrama,0,27,1030.74116734096,290.26168387276783,3.5632890292576382,1.5003142952919006,1.4999560969216483,6.94444465637207,39.30522918701172
regrama,0,28,934.9401189630681,266.05829551003194,3.5104439041831275,1.0007925629615784,2.4995274977250532,6.502525633031672,36.92427617853338
regrama,0,29,337.2744168368253,146.2007626620206,2.327358115803112,3.500146649100564,2.0014973011883823,6.250000433488325,36.12944238836115
regrama,0,30,257.3651035853795,108.85265186854771,2.3673310109547208,3.500015684536525,3.4995677641459872,6.597222566604614,32.803611755371094
regrama,0,31,389.9813631497897,140.73378342848557,2.774835696587196,1.9989377902104304,3.50005369919997,6.196581620436448,34.43823741032527
regrama,0,32,1024.920400766226,304.9325725848858,3.3776192665100098,0.5000653542005099,1.9995567798614502,7.104701262253982,37.90308028001051
regrama,0,33,418.51899973551434,151.72382354736328,2.768050273259481,2.499307096004486,2.4995012283325195,6.134259621302287,34.0749397277832
regrama,0,34,343.6741460164388,134.5834223429362,2.560791830221812,3.499601642290751,3.500511646270752,7.638889312744141,33.8472531636556
regrama,0,35,1393.0771179199219,373.73677317301434,3.7293022871017456,1.4999220470587413,0.5003238345185915,6.481481870015462,41.47150421142578
regrama,0,36,1285.7732788085937,360.7145233154297,3.5670973300933837,0.9995300710201264,0.9999613761901855,6.041667032241821,40.99141082763672
regrama,0,37,1685.7639923095703,413.76148223876953,4.077784895896912,0.9998340904712677,1.499425321817398,6.94444465637207,42.339966773986816
regrama,0,38,715.9524993896484,221.45479774475098,3.2438075095415115,1.4999726936221123,2.9999581277370453,6.94444465637207,36.660810470581055
regrama,0,39,1238.4689819335938,330.4783996582031,3.756230878829956,0.5002151697874069,3.5001211404800414,6.875000286102295,40.73379974365234
cpr,0,0,97.94451586405437,84.54193878173828,1.1720659832159679,3.500385800997416,2.499766925970713,0.0,3.7861044506231942
cpr,0,1,163.64317866734095,109.50834165300641,1.5066441808428084,2.0006082313401357,3.4999823229653493,1.9841271340847015,16.789337839399064
cpr,0,2,198.3998006184896,119.04085731506348,1.674050857623418,2.500192940235138,2.5003819863001504,2.2569445967674255,21.662762482961018
cpr,0,3,199.78781266645953,118.44275179776278,1.6970962719483809,3.0000042481855913,3.500207229094072,2.0833334922790527,25.6617695201527
cpr,0,4,203.1845932006836,115.14934349060059,1.7726701100667317,2.4992095629374185,1.50089693069458,3.0671297510464988,28.037989775339764
cpr,0,5,232.24987099387428,122.9619369506836,1.8978766419670798,1.4996805407784202,1.5008600841869006,4.1035356521606445,29.9836763902144
cpr,0,6,301.4843521118164,142.88171259562174,2.1226212978363037,0.49992456038792926,1.5003327826658885,4.1666669845581055,31.472806294759113
cpr,0,7,238.63348858173077,125.00873154860277,1.9171808407856867,1.9991158063595111,2.9996968782865086,4.1666669845581055,32.48663828923152
cpr,0,8,306.76637385441705,144.48299114520734,2.1303339371314416,2.000378049336947,1.4998740599705622,4.1666669845581055,33.28529269878681
cpr,0,9,224.71780043381912,121.81304462139423,1.8533817621377797,3.5001166600447435,2.99989285835853,4.861111164093018,35.29694102360652
cpr,0,10,235.66885493351862,124.96324803278996,1.892812628012437,3.5000423101278453,2.4999871804164004,4.1666669845581055,36.71410428560697
cpr,0,11,293.4222928560697,137.36610412597656,2.1423786786886363,2.4998369216918945,1.4999284285765428,4.540598465846135,36.197679666372444
cpr,0,12,315.3711686567827,145.76851307262075,2.1709226694974033,1.499864556572654,1.4995741844177246,5.429293155670166,36.406214627352625
cpr,0,13,392.110346476237,160.0408821105957,2.455982506275177,1.4998656709988911,1.49996613462766,5.7291669845581055,36.800676027933754
cpr,0,14,273.07006281072444,133.18758114901456,2.058346379886974,3.0004203753037886,1.9988380670547485,5.9974751472473145,38.49975100430575
cpr,0,15,315.09962346003607,146.61963594876804,2.159066071877113,2.499954315332266,1.5003255605697632,6.250000476837158,39.338256249061
cpr,0,16,298.91701438210225,133.3760688088157,2.2474888021295722,2.0004097006537696,2.4994770830327813,5.9343438148498535,39.74877444180575
cpr,0,17,309.4889958699544,142.25098037719727,2.1842292745908103,2.49918923775355,1.499798725048701,5.844907760620117,40.67785390218099
cpr,0,18,336.8198481968471,151.38889639718192,2.2353993824550082,1.4998750686645508,1.9990659952163696,7.589286123003278,40.437156677246094
