optimizer,seed,task,obs_delay,act_delay,epret,eplen,rstep,astd,actor_dorm,value_dorm
regrama,0,17,9,8,805.6125543767756,268.0091053355824,3.018513462760232,0.2329621816223318,2.0833334922790527,31.835922588001598
regrama,0,18,9,9,836.0144409179687,287.91705729166665,2.9094357013702394,0.23487161993980407,2.0833334922790527,32.57871360778809
regrama,0,19,10,9,656.9709028764205,231.00715775923297,2.8560867526314477,0.31137299131263385,2.0833334922790527,31.79334207014604
regrama,0,20,10,10,703.9018513997396,251.3642822265625,2.8170979976654054,0.2714749197165171,2.0833334922790527,32.45381100972494
cpr,0,0,0,0,3752.377726236979,676.3708445231119,5.711656928062439,0.34821416189273197,0.0,10.857403119405111
cpr,0,1,1,0,2452.5955897739955,450.177978515625,5.47341571535383,0.32005120388099123,0.5952381236212594,11.408497537885394
cpr,0,2,1,1,1407.9352361505682,311.2623180042614,4.5625201572071425,0.29508950493552466,1.1994950066913257,12.050244157964533
cpr,0,3,2,1,852.3384437561035,215.5351448059082,3.9743242859840393,0.28029546700417995,1.388888955116272,12.148711264133453
cpr,0,4,2,2,626.7614664713542,179.36051025390626,3.510061581929525,0.2662582556406657,1.388888955116272,12.459015846252441
cpr,0,5,3,2,395.2906524658203,133.27002029418946,2.9788369655609133,0.26531573534011843,1.388888955116272,12.622950458526612
cpr,0,6,3,3,284.8070889986478,115.65632159893329,2.4706705533541164,0.25977830244944644,1.6559830078711877,13.565122751089243
cpr,0,7,4,3,205.2148864746094,98.13004989624024,2.099562931060791,0.2498480886220932,2.0833334922790527,16.768149185180665
cpr,0,8,4,4,185.88404024564304,98.40452634371243,1.902677370951726,0.23929079220845148,2.0833334922790527,19.76220439030574
cpr,0,9,5,4,219.7197519938151,120.38643900553386,1.8279768625895183,0.23551083356142044,2.0833334922790527,25.29924472173055
cpr,0,10,5,5,382.20761663263494,176.4297859885476,2.1785503084009346,0.24499225887385281,2.0833334922790527,27.279822609641336
cpr,0,11,6,5,601.2639709472656,225.28080139160156,2.6719295501708986,0.2537041217088699,2.0833334922790527,28.446525192260744
cpr,0,12,6,6,766.4774017333984,253.48294639587402,3.0428408086299896,0.2584518603980541,2.387152925133705,30.108312606811523
cpr,0,13,7,6,1032.3367919921875,316.6132537841797,3.276478886604309,0.25648345351219176,1.8055556774139405,31.740826416015626
cpr,0,14,7,7,946.5298105875651,289.7840627034505,3.2684587637583413,0.24809983496864638,3.7037038803100586,32.18839359283447
cpr,0,15,8,7,788.7776916503906,247.4074951171875,3.1959030389785767,0.24511859863996505,4.5138890743255615,33.25526809692383
cpr,0,16,8,8,705.8699763371394,223.0455087515024,3.1747275315798245,0.24951140467937177,4.1666669845581055,34.30612916212816
cpr,0,17,9,8,736.1841486150569,236.5276669588956,3.1272335702722724,0.24753156710754742,4.229798273606733,36.54814980246804
cpr,0,18,9,9,715.2560424804688,237.2811513264974,3.014269399642944,0.24475796520709991,4.861111164093018,37.60603688557943
